Series ID,Year,Period,Label,Value
CUUR0000SAF,2020,M01,2020 Jan,260.638
CUUR0000SAF,2020,M02,2020 Feb,261.487
CUUR0000SAF,2020,M03,2020 Mar,262.320
CUUR0000SAF,2020,M04,2020 Apr,266.137
CUUR0000SAF,2020,M05,2020 May,267.792
CUUR0000SAF,2020,M06,2020 Jun,269.051
CUUR0000SAF,2020,M07,2020 Jul,268.132
CUUR0000SAF,2020,M08,2020 Aug,268.383
CUUR0000SAF,2020,M09,2020 Sep,268.465
CUUR0000SAF,2020,M10,2020 Oct,269.169
CUUR0000SAF,2020,M11,2020 Nov,268.539
CUUR0000SAF,2020,M12,2020 Dec,269.383
CUUR0000SAF,2021,M01,2021 Jan,270.260
CUUR0000SAF,2021,M02,2021 Feb,270.672
CUUR0000SAF,2021,M03,2021 Mar,271.135
CUUR0000SAF,2021,M04,2021 Apr,272.367
CUUR0000SAF,2021,M05,2021 May,273.441
CUUR0000SAF,2021,M06,2021 Jun,275.380
CUUR0000SAF,2021,M07,2021 Jul,277.187
CUUR0000SAF,2021,M08,2021 Aug,278.201
CUUR0000SAF,2021,M09,2021 Sep,280.452
CUUR0000SAF,2021,M10,2021 Oct,282.943
CUUR0000SAF,2021,M11,2021 Nov,284.168
CUUR0000SAF,2021,M12,2021 Dec,285.556
CUUR0000SAF,2022,M01,2022 Jan,288.264
CUUR0000SAF,2022,M02,2022 Feb,291.244
CUUR0000SAF,2022,M03,2022 Mar,294.064
CUUR0000SAF,2022,M04,2022 Apr,296.915
CUUR0000SAF,2022,M05,2022 May,300.081
CUUR0000SAF,2022,M06,2022 Jun,302.967
CUUR0000SAF,2022,M07,2022 Jul,306.278
CUUR0000SAF,2022,M08,2022 Aug,308.550
CUUR0000SAF,2022,M09,2022 Sep,310.678
CUUR0000SAF,2022,M10,2022 Oct,312.860
CUUR0000SAF,2022,M11,2022 Nov,313.467
CUUR0000SAF,2022,M12,2022 Dec,314.459
CUUR0000SAF,2023,M01,2023 Jan,316.705
CUUR0000SAF,2023,M02,2023 Feb,318.050
CUUR0000SAF,2023,M03,2023 Mar,318.338
CUUR0000SAF,2023,M04,2023 Apr,319.085
CUUR0000SAF,2023,M05,2023 May,319.811
CUUR0000SAF,2023,M06,2023 Jun,320.120
CUUR0000SAF,2023,M07,2023 Jul,321.020
CUUR0000SAF,2023,M08,2023 Aug,321.578
CUUR0000SAF,2023,M09,2023 Sep,322.249
CUUR0000SAF,2023,M10,2023 Oct,323.262
CUUR0000SAF,2023,M11,2023 Nov,322.703
CUUR0000SAF,2023,M12,2023 Dec,322.933
CUUR0000SAF,2024,M01,2024 Jan,324.782
CUUR0000SAF,2024,M02,2024 Feb,325.190
CUUR0000SAF,2024,M03,2024 Mar,325.491
CUUR0000SAF,2024,M04,2024 Apr,326.107
CUUR0000SAF,2024,M05,2024 May,326.545
CUUR0000SAF,2024,M06,2024 Jun,327.144
CUUR0000SAF,2024,M07,2024 Jul,327.956
CUUR0000SAF,2024,M08,2024 Aug,328.156
CUUR0000SAF,2024,M09,2024 Sep,329.417
CUUR0000SAF,2024,M10,2024 Oct,330.051
CUUR0000SAF,2024,M11,2024 Nov,330.260
CUUR0000SAF,2024,M12,2024 Dec,330.812
CUUR0000SAF,2025,M01,2025 Jan,332.696
CUUR0000SAF,2025,M02,2025 Feb,333.498
CUUR0000SAF,2025,M03,2025 Mar,334.920
CUUR0000SAF,2025,M04,2025 Apr,334.918
CUUR0000SAF,2025,M05,2025 May,335.687
CUUR0000SAH1,2020,M01,2020 Jan,323.053
CUUR0000SAH1,2020,M02,2020 Feb,324.254
CUUR0000SAH1,2020,M03,2020 Mar,324.615
CUUR0000SAH1,2020,M04,2020 Apr,324.522
CUUR0000SAH1,2020,M05,2020 May,325.265
CUUR0000SAH1,2020,M06,2020 Jun,325.814
CUUR0000SAH1,2020,M07,2020 Jul,326.580
CUUR0000SAH1,2020,M08,2020 Aug,326.997
CUUR0000SAH1,2020,M09,2020 Sep,327.116
CUUR0000SAH1,2020,M10,2020 Oct,327.273
CUUR0000SAH1,2020,M11,2020 Nov,327.435
CUUR0000SAH1,2020,M12,2020 Dec,327.702
CUUR0000SAH1,2021,M01,2021 Jan,328.282
CUUR0000SAH1,2021,M02,2021 Feb,329.005
CUUR0000SAH1,2021,M03,2021 Mar,330.122
CUUR0000SAH1,2021,M04,2021 Apr,331.354
CUUR0000SAH1,2021,M05,2021 May,332.454
CUUR0000SAH1,2021,M06,2021 Jun,334.222
CUUR0000SAH1,2021,M07,2021 Jul,335.812
CUUR0000SAH1,2021,M08,2021 Aug,336.284
CUUR0000SAH1,2021,M09,2021 Sep,337.451
CUUR0000SAH1,2021,M10,2021 Oct,338.671
CUUR0000SAH1,2021,M11,2021 Nov,339.997
CUUR0000SAH1,2021,M12,2021 Dec,341.241
